name,website,city,country,michelin_stars,cuisine_type,error
Le Coquillage,https://www.maisons-de-bricourt.com/fr/page/le-coquillage,Saint-Méloir-des-Ondes,France,3,"Creative, Seafood",No content scraped - likely access restricted
Rebel,https://www.restaurantrebel.co.uk,Newcastle Upon Tyne,United Kingdom,0,Modern British,No content scraped - likely access restricted
Saneh Jaan,https://www.sanehjaan.com,Bangkok,Thailand,1,Thai,No content scraped - likely access restricted
TROIS VISAGES,https://troisvisages.jp/,Tokyo,Japan,1,"French, Contemporary",No content scraped - likely access restricted
La Table d'Élise,http://www.latabledelise.mc,Monaco,France,0,Provençal,No content scraped - likely access restricted
Santerra,https://www.santerra.es,Madrid,Spain,1,Contemporary,No content scraped - likely access restricted
El Invernadero,https://elinvernaderorestaurante.com/,Madrid,Spain,1,"Vegetarian, Vegan",No content scraped - likely access restricted
San Marco,https://www.sanmarcoristorante.it,Canelli,Italy,0,"Piedmontese, Classic Cuisine",No content scraped - likely access restricted
Orizhon,http://www.orizhon-restaurant.fr,Audierne,France,0,"Modern Cuisine, Seafood",No content scraped - likely access restricted
Chef's Counter at MAASS,https://www.maassftl.com/,Fort Lauderdale,USA,1,"Contemporary, American",No content scraped - likely access restricted
Yoshinori,https://www.yoshinori-paris.com/,Paris,France,1,Modern Cuisine,No content scraped - likely access restricted
Entre Terre et Mer,https://www.entreterreetmer-honfleur.com/,Honfleur,France,0,Modern Cuisine,No content scraped - likely access restricted
BAHR,http://www.bahr.pt,Lisbon,Portugal,0,Portuguese,No content scraped - likely access restricted
La Locanda di Piero,https://lalocandadipiero.it/,Montecchio Precalcino,Italy,0,"Modern Cuisine, Farm to table",No content scraped - likely access restricted
KANOE,https://kanoerestaurant.com/,São Paulo,Brazil,1,Japanese,No content scraped - likely access restricted
Gaar,https://www.restaurantgaar.nl/,Meerssen,Netherlands,0,"Farm to table, Classic Cuisine",No content scraped - likely access restricted
Ricard Camarena,https://www.ricardcamarena.com/,Valencia,Spain,2,Creative,No content scraped - likely access restricted
Q Sushi,https://www.qsushila.com/,Los Angeles,USA,0,"Japanese, Sushi",No content scraped - likely access restricted
Osteria della Bottega,https://www.osteriadellabottega.com/,Geneva,Switzerland,0,"Italian, Seasonal Cuisine",No content scraped - likely access restricted
